school_name,school_type,local_authority,sector,pupils,postcode,latitude,longitude,near_transport
Ysgol Gynradd Llandegfan,Infants & Juniors,Isle of Anglesey,Primary,160.0,LL59 5UW,53.24381874135882,-4.146589878414956,True
Ysgol Gynradd y Borth,Infants & Juniors,Isle of Anglesey,Primary,192.0,LL59 5DS,53.22965531827187,-4.1691046755305115,True
Ysgol Gynradd Kingsland,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,166.0,LL65 2TH,53.300267787494086,-4.625953405877423,True
Ysgol Gymraeg Morswyn,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,178.0,LL65 2PU,53.300947426897956,-4.62326341441751,True
Rhyd y Llan,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,118.0,LL65 4PQ,53.35381272364793,-4.534727699244426,True
Ysgol Parc y Bont,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,113.0,LL60 6ES,53.211860499649625,-4.252540402160438,True
Cybi,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,425.0,LL65 1NS,53.310002167404924,-4.640300942225867,True
Ysgol Santes Dwynwen,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,106.0,LL61 6TE,53.16785154826625,-4.358142171459067,True
Ysgol Santes Fair,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,99.0,LL65 1TR,53.3081731176448,-4.634425200611712,True
Ysgol Syr Thomas Jones,Secondary (ages 11-19),Isle of Anglesey,Secondary,537.0,LL68 9TH,53.402705684104795,-4.351810914505163,True
Ysgol Uwchradd Caergybi,Secondary (ages 11-19),Isle of Anglesey,Secondary,818.0,LL65 1NP,53.311338744349456,-4.639679660391474,True
Ysgol Gyfun Llangefni,Secondary (ages 11-19),Isle of Anglesey,Secondary,761.0,LL77 7NG,53.25609032286881,-4.320262520409446,True
Ysgol David Hughes,Secondary (ages 11-19),Isle of Anglesey,Secondary,1123.0,LL59 5SS,53.2281964430146,-4.17712147276993,True
Ysgol Uwchradd Bodedern,Secondary (ages 11-19),Isle of Anglesey,Secondary,810.0,LL65 3TL,53.29118117500753,-4.5050642638568394,True
Ysgol Caergeiliog,"Nursery, Infants & Juniors",Isle of Anglesey,Primary,309.0,LL65 3NP,53.274466772304706,-4.531010876140553,True
Ysgol Gwaun Gyfni,"Nursery, Infants & Juniors",Gwynedd,Primary,131.0,LL55 3LT,53.1474772488586,-4.128440788367132,True
YSGOL GYNRADD NEFYN,"Nursery, Infants & Juniors",Gwynedd,Primary,131.0,LL53 6EA,52.9352359448037,-4.524316068429425,True
Ysgol Llanrug,"Nursery, Infants & Juniors",Gwynedd,Primary,265.0,LL55 4AL,53.14743198313801,-4.191381377817464,True
Ysgol Gynradd Abererch,"Nursery, Infants & Juniors",Gwynedd,Primary,71.0,LL53 6YU,52.90354611086936,-4.384425150392043,True
YSGOL BEDDGELERT,"Nursery, Infants & Juniors",Gwynedd,Primary,31.0,LL55 4UY,53.01237747765601,-4.105634580846022,True
Ysgol Bethel,"Nursery, Infants & Juniors",Gwynedd,Primary,147.0,LL55 1AX,53.16490610062095,-4.205227711324747,True
Ysgol Bodfeurig,"Nursery, Infants & Juniors",Gwynedd,Primary,55.0,LL57 4RN,53.178177406995985,-4.090034584613782,False
YSGOL GYNRADD BORTH-Y-GEST,"Nursery, Infants & Juniors",Gwynedd,Primary,32.0,LL49 9UF,52.91431915063054,-4.139385890000816,True
Ysgol Brynaerau,"Nursery, Infants & Juniors",Gwynedd,Primary,57.0,LL54 5EU,53.041366159245946,-4.325835822356838,False
Ysgol Y Gelli,"Nursery, Infants & Juniors",Gwynedd,Primary,222.0,LL55 1DU,53.14875973564346,-4.25744536036105,True
Ysgol Penybryn,Juniors,Gwynedd,Primary,106.0,LL57 3BE,53.1807026426383,-4.057577095385574,True
Ysgol Treferthyr,"Nursery, Infants & Juniors",Gwynedd,Primary,118.0,LL52 0RR,52.91712616130107,-4.23400951801224,True
Ysgol Gynradd Chwilog,"Nursery, Infants & Juniors",Gwynedd,Primary,91.0,LL53 6PS,52.920262231188076,-4.334139228933401,True
YSGOL CRUD-Y-WERIN,"Nursery, Infants & Juniors",Gwynedd,Primary,55.0,LL53 8BP,52.80756148684016,-4.71055427781875,True
