Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
20,20,Number of pupils,NUM,1,,6812153 - BRYN DERI PRIMARY,6812153,1362,,Eligible for free school meals or transitionally protected,fsmtp,2,,
225,225,Number of pupils,NUM,1,,6812153 - BRYN DERI PRIMARY,6812153,1362,,All pupils,all,3,,Total
180,180,Number of pupils,NUM,1,,6812164 - OAKFIELD PRIMARY SCHOOL,6812164,1363,,Eligible for free school meals,fsm,1,,
220,220,Number of pupils,NUM,1,,6812164 - OAKFIELD PRIMARY SCHOOL,6812164,1363,,Eligible for free school meals or transitionally protected,fsmtp,2,,
460,460,Number of pupils,NUM,1,,6812164 - OAKFIELD PRIMARY SCHOOL,6812164,1363,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6812166 - YSGOL GYMRAEG MELIN GRUFFYDD,6812166,1364,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6812166 - YSGOL GYMRAEG MELIN GRUFFYDD,6812166,1364,,Eligible for free school meals or transitionally protected,fsmtp,2,,
455,455,Number of pupils,NUM,1,,6812166 - YSGOL GYMRAEG MELIN GRUFFYDD,6812166,1364,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6812169 - Ysgol Y Wern,6812169,1365,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6812169 - Ysgol Y Wern,6812169,1365,,Eligible for free school meals or transitionally protected,fsmtp,2,,
675,675,Number of pupils,NUM,1,,6812169 - Ysgol Y Wern,6812169,1365,,All pupils,all,3,,Total
65,65,Number of pupils,NUM,1,,6812170 - YSGOL GYMRAEG COED Y GOF,6812170,1366,,Eligible for free school meals,fsm,1,,
85,85,Number of pupils,NUM,1,,6812170 - YSGOL GYMRAEG COED Y GOF,6812170,1366,,Eligible for free school meals or transitionally protected,fsmtp,2,,
190,190,Number of pupils,NUM,1,,6812170 - YSGOL GYMRAEG COED Y GOF,6812170,1366,,All pupils,all,3,,Total
60,60,Number of pupils,NUM,1,,6812171 - YSGOL BRO EIRWG,6812171,1367,,Eligible for free school meals,fsm,1,,
85,85,Number of pupils,NUM,1,,6812171 - YSGOL BRO EIRWG,6812171,1367,,Eligible for free school meals or transitionally protected,fsmtp,2,,
365,365,Number of pupils,NUM,1,,6812171 - YSGOL BRO EIRWG,6812171,1367,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6812173 - YSGOL TREGANNA,6812173,1368,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6812173 - YSGOL TREGANNA,6812173,1368,,Eligible for free school meals or transitionally protected,fsmtp,2,,
660,660,Number of pupils,NUM,1,,6812173 - YSGOL TREGANNA,6812173,1368,,All pupils,all,3,,Total
110,110,Number of pupils,NUM,1,,6812174 - WILLOWBROOK PRIMARY SCHOOL,6812174,1369,,Eligible for free school meals,fsm,1,,
150,150,Number of pupils,NUM,1,,6812174 - WILLOWBROOK PRIMARY SCHOOL,6812174,1369,,Eligible for free school meals or transitionally protected,fsmtp,2,,
420,420,Number of pupils,NUM,1,,6812174 - WILLOWBROOK PRIMARY SCHOOL,6812174,1369,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6812175 - PENTYRCH PRIMARY,6812175,1370,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6812175 - PENTYRCH PRIMARY,6812175,1370,,Eligible for free school meals or transitionally protected,fsmtp,2,,
175,175,Number of pupils,NUM,1,,6812175 - PENTYRCH PRIMARY,6812175,1370,,All pupils,all,3,,Total
45,45,Number of pupils,NUM,1,,6812176 - THORNHILL PRIMARY SCHOOL,6812176,1371,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6812176 - THORNHILL PRIMARY SCHOOL,6812176,1371,,Eligible for free school meals or transitionally protected,fsmtp,2,,
435,435,Number of pupils,NUM,1,,6812176 - THORNHILL PRIMARY SCHOOL,6812176,1371,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6812177 - YSGOL PENCAE,6812177,1372,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6812177 - YSGOL PENCAE,6812177,1372,,Eligible for free school meals or transitionally protected,fsmtp,2,,
205,205,Number of pupils,NUM,1,,6812177 - YSGOL PENCAE,6812177,1372,,All pupils,all,3,,Total
160,160,Number of pupils,NUM,1,,6812179 - Meadowlane Primary School,6812179,1373,,Eligible for free school meals,fsm,1,,
195,195,Number of pupils,NUM,1,,6812179 - Meadowlane Primary School,6812179,1373,,Eligible for free school meals or transitionally protected,fsmtp,2,,
320,320,Number of pupils,NUM,1,,6812179 - Meadowlane Primary School,6812179,1373,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6812180 - YSGOL MYNYDD BYCHAN,6812180,1374,,Eligible for free school meals,fsm,1,,
5,5,Number of pupils,NUM,1,,6812180 - YSGOL MYNYDD BYCHAN,6812180,1374,,Eligible for free school meals or transitionally protected,fsmtp,2,,
260,260,Number of pupils,NUM,1,,6812180 - YSGOL MYNYDD BYCHAN,6812180,1374,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6812305 - CREIGIAU PRIMARY SCHOOL,6812305,1375,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6812305 - CREIGIAU PRIMARY SCHOOL,6812305,1375,,Eligible for free school meals or transitionally protected,fsmtp,2,,
365,365,Number of pupils,NUM,1,,6812305 - CREIGIAU PRIMARY SCHOOL,6812305,1375,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6812306 - YSGOL GYMRAEG PWLL COCH,6812306,1376,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6812306 - YSGOL GYMRAEG PWLL COCH,6812306,1376,,Eligible for free school meals or transitionally protected,fsmtp,2,,
315,315,Number of pupils,NUM,1,,6812306 - YSGOL GYMRAEG PWLL COCH,6812306,1376,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6812308 - Ysgol Y Berllan Deg,6812308,1377,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6812308 - Ysgol Y Berllan Deg,6812308,1377,,Eligible for free school meals or transitionally protected,fsmtp,2,,
395,395,Number of pupils,NUM,1,,6812308 - Ysgol Y Berllan Deg,6812308,1377,,All pupils,all,3,,Total
50,50,Number of pupils,NUM,1,,6812309 - GLADSTONE PRIMARY SCHOOL,6812309,1378,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6812309 - GLADSTONE PRIMARY SCHOOL,6812309,1378,,Eligible for free school meals or transitionally protected,fsmtp,2,,
240,240,Number of pupils,NUM,1,,6812309 - GLADSTONE PRIMARY SCHOOL,6812309,1378,,All pupils,all,3,,Total
75,75,Number of pupils,NUM,1,,6812310 - GLAN YR AFON PRIMARY SCHOOL,6812310,1379,,Eligible for free school meals,fsm,1,,
85,85,Number of pupils,NUM,1,,6812310 - GLAN YR AFON PRIMARY SCHOOL,6812310,1379,,Eligible for free school meals or transitionally protected,fsmtp,2,,
135,135,Number of pupils,NUM,1,,6812310 - GLAN YR AFON PRIMARY SCHOOL,6812310,1379,,All pupils,all,3,,Total
125,125,Number of pupils,NUM,1,,6812311 - Grangetown Primary School,6812311,1380,,Eligible for free school meals,fsm,1,,
160,160,Number of pupils,NUM,1,,6812311 - Grangetown Primary School,6812311,1380,,Eligible for free school meals or transitionally protected,fsmtp,2,,
375,375,Number of pupils,NUM,1,,6812311 - Grangetown Primary School,6812311,1380,,All pupils,all,3,,Total
210,210,Number of pupils,NUM,1,,6812312 - Herbert Thompson Primary,6812312,1381,,Eligible for free school meals,fsm,1,,
230,230,Number of pupils,NUM,1,,6812312 - Herbert Thompson Primary,6812312,1381,,Eligible for free school meals or transitionally protected,fsmtp,2,,
465,465,Number of pupils,NUM,1,,6812312 - Herbert Thompson Primary,6812312,1381,,All pupils,all,3,,Total
50,50,Number of pupils,NUM,1,,6812313 - Ysgol Glan Morfa,6812313,1382,,Eligible for free school meals,fsm,1,,
75,75,Number of pupils,NUM,1,,6812313 - Ysgol Glan Morfa,6812313,1382,,Eligible for free school meals or transitionally protected,fsmtp,2,,
255,255,Number of pupils,NUM,1,,6812313 - Ysgol Glan Morfa,6812313,1382,,All pupils,all,3,,Total
50,50,Number of pupils,NUM,1,,6812314 - Ysgol Pen Y Pil,6812314,1383,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6812314 - Ysgol Pen Y Pil,6812314,1383,,Eligible for free school meals or transitionally protected,fsmtp,2,,
175,175,Number of pupils,NUM,1,,6812314 - Ysgol Pen Y Pil,6812314,1383,,All pupils,all,3,,Total
70,70,Number of pupils,NUM,1,,6812315 - Ysgol Gymraeg Nant Caerau,6812315,1384,,Eligible for free school meals,fsm,1,,
100,100,Number of pupils,NUM,1,,6812315 - Ysgol Gymraeg Nant Caerau,6812315,1384,,Eligible for free school meals or transitionally protected,fsmtp,2,,
230,230,Number of pupils,NUM,1,,6812315 - Ysgol Gymraeg Nant Caerau,6812315,1384,,All pupils,all,3,,Total
70,70,Number of pupils,NUM,1,,6812317 - Rumney Primary,6812317,1385,,Eligible for free school meals,fsm,1,,
95,95,Number of pupils,NUM,1,,6812317 - Rumney Primary,6812317,1385,,Eligible for free school meals or transitionally protected,fsmtp,2,,
455,455,Number of pupils,NUM,1,,6812317 - Rumney Primary,6812317,1385,,All pupils,all,3,,Total
250,250,Number of pupils,NUM,1,,6812318 - Windsor Clive Primary,6812318,1386,,Eligible for free school meals,fsm,1,,
295,295,Number of pupils,NUM,1,,6812318 - Windsor Clive Primary,6812318,1386,,Eligible for free school meals or transitionally protected,fsmtp,2,,
470,470,Number of pupils,NUM,1,,6812318 - Windsor Clive Primary,6812318,1386,,All pupils,all,3,,Total
105,105,Number of pupils,NUM,1,,6812319 - Severn Primary,6812319,1387,,Eligible for free school meals,fsm,1,,
130,130,Number of pupils,NUM,1,,6812319 - Severn Primary,6812319,1387,,Eligible for free school meals or transitionally protected,fsmtp,2,,
440,440,Number of pupils,NUM,1,,6812319 - Severn Primary,6812319,1387,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6812320 - Hawthorn Primary,6812320,1388,,Eligible for free school meals,fsm,1,,
45,45,Number of pupils,NUM,1,,6812320 - Hawthorn Primary,6812320,1388,,Eligible for free school meals or transitionally protected,fsmtp,2,,
210,210,Number of pupils,NUM,1,,6812320 - Hawthorn Primary,6812320,1388,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6812321 - Danescourt Primary,6812321,1389,,Eligible for free school meals,fsm,1,,
50,50,Number of pupils,NUM,1,,6812321 - Danescourt Primary,6812321,1389,,Eligible for free school meals or transitionally protected,fsmtp,2,,
435,435,Number of pupils,NUM,1,,6812321 - Danescourt Primary,6812321,1389,,All pupils,all,3,,Total
195,195,Number of pupils,NUM,1,,6812322 - Hywel Dda Primary School,6812322,1390,,Eligible for free school meals,fsm,1,,
225,225,Number of pupils,NUM,1,,6812322 - Hywel Dda Primary School,6812322,1390,,Eligible for free school meals or transitionally protected,fsmtp,2,,
415,415,Number of pupils,NUM,1,,6812322 - Hywel Dda Primary School,6812322,1390,,All pupils,all,3,,Total
15,15,Number of pupils,NUM,1,,6812323 - Ysgol Gynradd Gymraeg Pen-Y-Groes,6812323,1391,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6812323 - Ysgol Gynradd Gymraeg Pen-Y-Groes,6812323,1391,,Eligible for free school meals or transitionally protected,fsmtp,2,,
105,105,Number of pupils,NUM,1,,6812323 - Ysgol Gynradd Gymraeg Pen-Y-Groes,6812323,1391,,All pupils,all,3,,Total
100,100,Number of pupils,NUM,1,,6812324 - Trowbridge Primary,6812324,1392,,Eligible for free school meals,fsm,1,,
115,115,Number of pupils,NUM,1,,6812324 - Trowbridge Primary,6812324,1392,,Eligible for free school meals or transitionally protected,fsmtp,2,,
190,190,Number of pupils,NUM,1,,6812324 - Trowbridge Primary,6812324,1392,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6812325 - Ysgol Glan Ceubal,6812325,1393,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6812325 - Ysgol Glan Ceubal,6812325,1393,,Eligible for free school meals or transitionally protected,fsmtp,2,,
205,205,Number of pupils,NUM,1,,6812325 - Ysgol Glan Ceubal,6812325,1393,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6812326 - Marlborough Primary,6812326,1394,,Eligible for free school meals,fsm,1,,
50,50,Number of pupils,NUM,1,,6812326 - Marlborough Primary,6812326,1394,,Eligible for free school meals or transitionally protected,fsmtp,2,,
490,490,Number of pupils,NUM,1,,6812326 - Marlborough Primary,6812326,1394,,All pupils,all,3,,Total
90,90,Number of pupils,NUM,1,,6812327 - Pencaerau Primary,6812327,1395,,Eligible for free school meals,fsm,1,,
120,120,Number of pupils,NUM,1,,6812327 - Pencaerau Primary,6812327,1395,,Eligible for free school meals or transitionally protected,fsmtp,2,,
230,230,Number of pupils,NUM,1,,6812327 - Pencaerau Primary,6812327,1395,,All pupils,all,3,,Total
65,65,Number of pupils,NUM,1,,6812328 - Glyncoed Primary,6812328,1396,,Eligible for free school meals,fsm,1,,
90,90,Number of pupils,NUM,1,,6812328 - Glyncoed Primary,6812328,1396,,Eligible for free school meals or transitionally protected,fsmtp,2,,
285,285,Number of pupils,NUM,1,,6812328 - Glyncoed Primary,6812328,1396,,All pupils,all,3,,Total
50,50,Number of pupils,NUM,1,,6812329 - Whitchurch Primary,6812329,1397,,Eligible for free school meals,fsm,1,,
70,70,Number of pupils,NUM,1,,6812329 - Whitchurch Primary,6812329,1397,,Eligible for free school meals or transitionally protected,fsmtp,2,,
675,675,Number of pupils,NUM,1,,6812329 - Whitchurch Primary,6812329,1397,,All pupils,all,3,,Total
55,55,Number of pupils,NUM,1,,6812330 - Pontprennau,6812330,1398,,Eligible for free school meals,fsm,1,,
65,65,Number of pupils,NUM,1,,6812330 - Pontprennau,6812330,1398,,Eligible for free school meals or transitionally protected,fsmtp,2,,
485,485,Number of pupils,NUM,1,,6812330 - Pontprennau,6812330,1398,,All pupils,all,3,,Total
55,55,Number of pupils,NUM,1,,6812331 - Howardian Primary School,6812331,1399,,Eligible for free school meals,fsm,1,,
70,70,Number of pupils,NUM,1,,6812331 - Howardian Primary School,6812331,1399,,Eligible for free school meals or transitionally protected,fsmtp,2,,
450,450,Number of pupils,NUM,1,,6812331 - Howardian Primary School,6812331,1399,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6812332 - Ysgol Gynradd Gymraeg Hamadryad,6812332,1400,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6812332 - Ysgol Gynradd Gymraeg Hamadryad,6812332,1400,,Eligible for free school meals or transitionally protected,fsmtp,2,,
365,365,Number of pupils,NUM,1,,6812332 - Ysgol Gynradd Gymraeg Hamadryad,6812332,1400,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6812333 - Ysgol Gynradd Groes Wen,6812333,1401,,Eligible for free school meals,fsm,1,,
10,10,Number of pupils,NUM,1,,6812333 - Ysgol Gynradd Groes Wen,6812333,1401,,Eligible for free school meals or transitionally protected,fsmtp,2,,
125,125,Number of pupils,NUM,1,,6812333 - Ysgol Gynradd Groes Wen,6812333,1401,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6813000 - ST. MELLONS CHURCH IN WALES PRIMARY,6813000,1402,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6813000 - ST. MELLONS CHURCH IN WALES PRIMARY,6813000,1402,,Eligible for free school meals or transitionally protected,fsmtp,2,,
230,230,Number of pupils,NUM,1,,6813000 - ST. MELLONS CHURCH IN WALES PRIMARY,6813000,1402,,All pupils,all,3,,Total
90,90,Number of pupils,NUM,1,,6813321 - ST ALBAN'S RC PRIMARY SCHOOL,6813321,1403,,Eligible for free school meals,fsm,1,,
110,110,Number of pupils,NUM,1,,6813321 - ST ALBAN'S RC PRIMARY SCHOOL,6813321,1403,,Eligible for free school meals or transitionally protected,fsmtp,2,,
170,170,Number of pupils,NUM,1,,6813321 - ST ALBAN'S RC PRIMARY SCHOOL,6813321,1403,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6813323 - ST CUTHBERT'S RC PRIMARY,6813323,1404,,Eligible for free school meals,fsm,1,,
55,55,Number of pupils,NUM,1,,6813323 - ST CUTHBERT'S RC PRIMARY,6813323,1404,,Eligible for free school meals or transitionally protected,fsmtp,2,,
120,120,Number of pupils,NUM,1,,6813323 - ST CUTHBERT'S RC PRIMARY,6813323,1404,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6813328 - St. Joseph's RC School,6813328,1405,,Eligible for free school meals,fsm,1,,
50,50,Number of pupils,NUM,1,,6813328 - St. Joseph's RC School,6813328,1405,,Eligible for free school meals or transitionally protected,fsmtp,2,,
225,225,Number of pupils,NUM,1,,6813328 - St. Joseph's RC School,6813328,1405,,All pupils,all,3,,Total
35,35,Number of pupils,NUM,1,,6813330 - ST. MARY'S R.C. PRIMARY SCHOOL,6813330,1406,,Eligible for free school meals,fsm,1,,
60,60,Number of pupils,NUM,1,,6813330 - ST. MARY'S R.C. PRIMARY SCHOOL,6813330,1406,,Eligible for free school meals or transitionally protected,fsmtp,2,,
205,205,Number of pupils,NUM,1,,6813330 - ST. MARY'S R.C. PRIMARY SCHOOL,6813330,1406,,All pupils,all,3,,Total
95,95,Number of pupils,NUM,1,,6813332 - ST PATRICK'S R C SCHOOL,6813332,1407,,Eligible for free school meals,fsm,1,,
115,115,Number of pupils,NUM,1,,6813332 - ST PATRICK'S R C SCHOOL,6813332,1407,,Eligible for free school meals or transitionally protected,fsmtp,2,,
300,300,Number of pupils,NUM,1,,6813332 - ST PATRICK'S R C SCHOOL,6813332,1407,,All pupils,all,3,,Total
90,90,Number of pupils,NUM,1,,6813334 - ST. PETER'S PRIMARY SCHOOL,6813334,1408,,Eligible for free school meals,fsm,1,,
115,115,Number of pupils,NUM,1,,6813334 - ST. PETER'S PRIMARY SCHOOL,6813334,1408,,Eligible for free school meals or transitionally protected,fsmtp,2,,
440,440,Number of pupils,NUM,1,,6813334 - ST. PETER'S PRIMARY SCHOOL,6813334,1408,,All pupils,all,3,,Total
105,105,Number of pupils,NUM,1,,6813336 - St Cadoc's Catholic Primary,6813336,1409,,Eligible for free school meals,fsm,1,,
135,135,Number of pupils,NUM,1,,6813336 - St Cadoc's Catholic Primary,6813336,1409,,Eligible for free school meals or transitionally protected,fsmtp,2,,
330,330,Number of pupils,NUM,1,,6813336 - St Cadoc's Catholic Primary,6813336,1409,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6813341 - ST MONICAS C/W PRIMARY SCHOOL,6813341,1410,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6813341 - ST MONICAS C/W PRIMARY SCHOOL,6813341,1410,,Eligible for free school meals or transitionally protected,fsmtp,2,,
150,150,Number of pupils,NUM,1,,6813341 - ST MONICAS C/W PRIMARY SCHOOL,6813341,1410,,All pupils,all,3,,Total
55,55,Number of pupils,NUM,1,,6813343 - ST.PAUL'S C/W PRIMARY SCHOOL,6813343,1411,,Eligible for free school meals,fsm,1,,
75,75,Number of pupils,NUM,1,,6813343 - ST.PAUL'S C/W PRIMARY SCHOOL,6813343,1411,,Eligible for free school meals or transitionally protected,fsmtp,2,,
225,225,Number of pupils,NUM,1,,6813343 - ST.PAUL'S C/W PRIMARY SCHOOL,6813343,1411,,All pupils,all,3,,Total
85,85,Number of pupils,NUM,1,,6813344 - TREDEGARVILLE C/W PRIMARY,6813344,1412,,Eligible for free school meals,fsm,1,,
115,115,Number of pupils,NUM,1,,6813344 - TREDEGARVILLE C/W PRIMARY,6813344,1412,,Eligible for free school meals or transitionally protected,fsmtp,2,,
235,235,Number of pupils,NUM,1,,6813344 - TREDEGARVILLE C/W PRIMARY,6813344,1412,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6813346 - LLANDAFF CITY PRIMARY SCHOOL,6813346,1413,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6813346 - LLANDAFF CITY PRIMARY SCHOOL,6813346,1413,,Eligible for free school meals or transitionally protected,fsmtp,2,,
400,400,Number of pupils,NUM,1,,6813346 - LLANDAFF CITY PRIMARY SCHOOL,6813346,1413,,All pupils,all,3,,Total
5,5,Number of pupils,NUM,1,,6813351 - CHRIST THE KING PRIMARY SCHOOL,6813351,1414,,Eligible for free school meals,fsm,1,,
15,15,Number of pupils,NUM,1,,6813351 - CHRIST THE KING PRIMARY SCHOOL,6813351,1414,,Eligible for free school meals or transitionally protected,fsmtp,2,,
235,235,Number of pupils,NUM,1,,6813351 - CHRIST THE KING PRIMARY SCHOOL,6813351,1414,,All pupils,all,3,,Total
115,115,Number of pupils,NUM,1,,6813353 - St John Lloyd,6813353,1415,,Eligible for free school meals,fsm,1,,
140,140,Number of pupils,NUM,1,,6813353 - St John Lloyd,6813353,1415,,Eligible for free school meals or transitionally protected,fsmtp,2,,
335,335,Number of pupils,NUM,1,,6813353 - St John Lloyd,6813353,1415,,All pupils,all,3,,Total
45,45,Number of pupils,NUM,1,,6813354 - HOLY FAMILY R.C. PRIMARY,6813354,1416,,Eligible for free school meals,fsm,1,,
65,65,Number of pupils,NUM,1,,6813354 - HOLY FAMILY R.C. PRIMARY,6813354,1416,,Eligible for free school meals or transitionally protected,fsmtp,2,,
155,155,Number of pupils,NUM,1,,6813354 - HOLY FAMILY R.C. PRIMARY,6813354,1416,,All pupils,all,3,,Total
70,70,Number of pupils,NUM,1,,6813355 - ST MARY THE VIRGIN C/W PRIMARY SCHOOL,6813355,1417,,Eligible for free school meals,fsm,1,,
95,95,Number of pupils,NUM,1,,6813355 - ST MARY THE VIRGIN C/W PRIMARY SCHOOL,6813355,1417,,Eligible for free school meals or transitionally protected,fsmtp,2,,
210,210,Number of pupils,NUM,1,,6813355 - ST MARY THE VIRGIN C/W PRIMARY SCHOOL,6813355,1417,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6813357 - ALL SAINTS C/W PRIMARY,6813357,1418,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6813357 - ALL SAINTS C/W PRIMARY,6813357,1418,,Eligible for free school meals or transitionally protected,fsmtp,2,,
140,140,Number of pupils,NUM,1,,6813357 - ALL SAINTS C/W PRIMARY,6813357,1418,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6813366 - ST FAGANS CHURCH IN WALES,6813366,1419,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6813366 - ST FAGANS CHURCH IN WALES,6813366,1419,,Eligible for free school meals or transitionally protected,fsmtp,2,,
200,200,Number of pupils,NUM,1,,6813366 - ST FAGANS CHURCH IN WALES,6813366,1419,,All pupils,all,3,,Total
25,25,Number of pupils,NUM,1,,6813370 - ST BERNADETTES PRIMARY SCHOOL,6813370,1420,,Eligible for free school meals,fsm,1,,
35,35,Number of pupils,NUM,1,,6813370 - ST BERNADETTES PRIMARY SCHOOL,6813370,1420,,Eligible for free school meals or transitionally protected,fsmtp,2,,
245,245,Number of pupils,NUM,1,,6813370 - ST BERNADETTES PRIMARY SCHOOL,6813370,1420,,All pupils,all,3,,Total
45,45,Number of pupils,NUM,1,,6813371 - ST DAVID'S C/W PRIMARY SCHOOL,6813371,1421,,Eligible for free school meals,fsm,1,,
55,55,Number of pupils,NUM,1,,6813371 - ST DAVID'S C/W PRIMARY SCHOOL,6813371,1421,,Eligible for free school meals or transitionally protected,fsmtp,2,,
215,215,Number of pupils,NUM,1,,6813371 - ST DAVID'S C/W PRIMARY SCHOOL,6813371,1421,,All pupils,all,3,,Total
30,30,Number of pupils,NUM,1,,6813373 - BISHOP CHILDS C/W PRIMARY,6813373,1422,,Eligible for free school meals,fsm,1,,
40,40,Number of pupils,NUM,1,,6813373 - BISHOP CHILDS C/W PRIMARY,6813373,1422,,Eligible for free school meals or transitionally protected,fsmtp,2,,
200,200,Number of pupils,NUM,1,,6813373 - BISHOP CHILDS C/W PRIMARY,6813373,1422,,All pupils,all,3,,Total
80,80,Number of pupils,NUM,1,,6813374 - ST PHILIP EVANS PRIMARY SCHOOL,6813374,1423,,Eligible for free school meals,fsm,1,,
110,110,Number of pupils,NUM,1,,6813374 - ST PHILIP EVANS PRIMARY SCHOOL,6813374,1423,,Eligible for free school meals or transitionally protected,fsmtp,2,,
370,370,Number of pupils,NUM,1,,6813374 - ST PHILIP EVANS PRIMARY SCHOOL,6813374,1423,,All pupils,all,3,,Total
150,150,Number of pupils,NUM,1,,6813375 - St. Francis R. C. Primary Sch.,6813375,1424,,Eligible for free school meals,fsm,1,,
190,190,Number of pupils,NUM,1,,6813375 - St. Francis R. C. Primary Sch.,6813375,1424,,Eligible for free school meals or transitionally protected,fsmtp,2,,
330,330,Number of pupils,NUM,1,,6813375 - St. Francis R. C. Primary Sch.,6813375,1424,,All pupils,all,3,,Total
120,120,Number of pupils,NUM,1,,6814039 - CARDIFF HIGH SCHOOL,6814039,1425,,Eligible for free school meals,fsm,1,,
175,175,Number of pupils,NUM,1,,6814039 - CARDIFF HIGH SCHOOL,6814039,1425,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,795",1795,Number of pupils,NUM,1,,6814039 - CARDIFF HIGH SCHOOL,6814039,1425,,All pupils,all,3,,Total
405,405,Number of pupils,NUM,1,,6814041 - Willows High School,6814041,1426,,Eligible for free school meals,fsm,1,,
465,465,Number of pupils,NUM,1,,6814041 - Willows High School,6814041,1426,,Eligible for free school meals or transitionally protected,fsmtp,2,,
810,810,Number of pupils,NUM,1,,6814041 - Willows High School,6814041,1426,,All pupils,all,3,,Total
565,565,Number of pupils,NUM,1,,6814042 - Fitzalan High School,6814042,1427,,Eligible for free school meals,fsm,1,,
720,720,Number of pupils,NUM,1,,6814042 - Fitzalan High School,6814042,1427,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,835",1835,Number of pupils,NUM,1,,6814042 - Fitzalan High School,6814042,1427,,All pupils,all,3,,Total
355,355,Number of pupils,NUM,1,,6814049 - Cantonian High School,6814049,1428,,Eligible for free school meals,fsm,1,,
450,450,Number of pupils,NUM,1,,6814049 - Cantonian High School,6814049,1428,,Eligible for free school meals or transitionally protected,fsmtp,2,,
945,945,Number of pupils,NUM,1,,6814049 - Cantonian High School,6814049,1428,,All pupils,all,3,,Total
330,330,Number of pupils,NUM,1,,6814051 - Llanishen High School,6814051,1429,,Eligible for free school meals,fsm,1,,
445,445,Number of pupils,NUM,1,,6814051 - Llanishen High School,6814051,1429,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,715",1715,Number of pupils,NUM,1,,6814051 - Llanishen High School,6814051,1429,,All pupils,all,3,,Total
445,445,Number of pupils,NUM,1,,6814054 - Cathays High School,6814054,1430,,Eligible for free school meals,fsm,1,,
520,520,Number of pupils,NUM,1,,6814054 - Cathays High School,6814054,1430,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,245",1245,Number of pupils,NUM,1,,6814054 - Cathays High School,6814054,1430,,All pupils,all,3,,Total
150,150,Number of pupils,NUM,1,,6814070 - Radyr Comprehensive School,6814070,1431,,Eligible for free school meals,fsm,1,,
215,215,Number of pupils,NUM,1,,6814070 - Radyr Comprehensive School,6814070,1431,,Eligible for free school meals or transitionally protected,fsmtp,2,,
"1,425",1425,Number of pupils,NUM,1,,6814070 - Radyr Comprehensive School,6814070,1431,,All pupils,all,3,,Total
