Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
140,140,Number of pupils,NUM,1,,6602170 - Ysgol Goronwy Owen,6602170,26,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6602173 - Ysgol Gynradd Y Tywyn,6602173,27,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6602173 - Ysgol Gynradd Y Tywyn,6602173,27,,Eligible for free school meals or transitionally protected,fsmtp,2,,
100,100,Number of pupils,NUM,1,,6602173 - Ysgol Gynradd Y Tywyn,6602173,27,,All pupils,all,3,,Total
10,10,Number of pupils,NUM,1,,6602174 - Ysgol Gynradd Llandegfan,6602174,28,,Eligible for free school meals,fsm,1,,
20,20,Number of pupils,NUM,1,,6602174 - Ysgol Gynradd Llandegfan,6602174,28,,Eligible for free school meals or transitionally protected,fsmtp,2,,
160,160,Number of pupils,NUM,1,,6602174 - Ysgol Gynradd Llandegfan,6602174,28,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6602175 - Ysgol Gynradd y Borth,6602175,29,,Eligible for free school meals,fsm,1,,
30,30,Number of pupils,NUM,1,,6602175 - Ysgol Gynradd y Borth,6602175,29,,Eligible for free school meals or transitionally protected,fsmtp,2,,
190,190,Number of pupils,NUM,1,,6602175 - Ysgol Gynradd y Borth,6602175,29,,All pupils,all,3,,Total
40,40,Number of pupils,NUM,1,,6602176 - Ysgol Gynradd Kingsland,6602176,30,,Eligible for free school meals,fsm,1,,
55,55,Number of pupils,NUM,1,,6602176 - Ysgol Gynradd Kingsland,6602176,30,,Eligible for free school meals or transitionally protected,fsmtp,2,,
165,165,Number of pupils,NUM,1,,6602176 - Ysgol Gynradd Kingsland,6602176,30,,All pupils,all,3,,Total
20,20,Number of pupils,NUM,1,,6602177 - Ysgol Gymraeg Morswyn,6602177,31,,Eligible for free school meals,fsm,1,,
25,25,Number of pupils,NUM,1,,6602177 - Ysgol Gymraeg Morswyn,6602177,31,,Eligible for free school meals or transitionally protected,fsmtp,2,,
