Latitude,Longitude,CommonName,StopType,Status
53.17313904,-3.380294458,Llwyn Bach,BCT,active
53.181059669,-3.390275602,Brookhouse Mill,BCT,active
53.183472099,-3.395381931,Llys Catrin,BCT,active
53.183215514,-3.39809724,Llys Clwyd,BCT,active
53.182509205,-3.400827789,Llys Fammau,BCT,active
53.184260577,-3.398669994,Ysgybor Wen Cottages,BCT,active
53.184545034,-3.402764841,Pinetree Court,BCT,active
53.185546553,-3.402453319,Trewen,BCT,active
53.186518288,-3.403906824,Abbey Court,BCT,active
53.189023322,-3.401878312,Llys Alawfowlia,BCT,active
53.185967252,-3.398785407,Erw Salisbury,BCT,active
53.185007023,-3.403992143,Pinetree Court,BCT,active
53.185902022,-3.407747959,Denbigh High School,BCT,active
53.186536172,-3.410761943,Railway Inn,BCT,active
53.288584827,-3.470364819,Marsh Warden,BCT,active
53.290496111,-3.467729987,Parliament House,BCT,active
53.292132279,-3.464800443,Vicarage Lane,BCT,active
53.29395198,-3.46118681,Ffordd Dewi,BCT,active
53.29158013,-3.464736581,Kings Head,BCT,active
53.290313645,-3.460627502,Llys Hendre,BCT,active
53.290170458,-3.456526965,Bryn Crescent,BCT,active
53.29624448,-3.459344438,Maes y Bryn,BCT,active
53.297350088,-3.460087375,Highland Close,BCT,active
53.29986255,-3.463024269,Bryn Cwybr,BCT,active
53.303431789,-3.467753477,Clwyd Retail Park,BCT,active
53.305757924,-3.468658717,Derwen Hotel,BCT,active
53.308869434,-3.470026303,The Boulevard,BCT,active
53.310581445,-3.472246578,Tower Gardens,BCT,active
53.312792424,-3.472652868,Llys Morgan,BCT,active
53.314769166,-3.474912565,Pendyffryn Road,BCT,active
53.316510782,-3.480181726,Llys Glan Aber,BCT,active
53.317232212,-3.482893857,Victoria Road,BCT,active
53.318791,-3.488902,Rhyl Bus Station Stand D,BCS,active
53.31623217,-3.493157232,Arriva Depot,BCT,active
53.31283784,-3.496446132,Rhydwen Drive,BCT,active
53.314433165,-3.493244537,Netley Road,BCT,active
53.315559927,-3.491197321,Gwynfryn Avenue,BCT,active
53.31600071,-3.489381224,Morrison,BCT,active
53.315388756,-3.488714421,Ffordd Las,BCT,active
53.314122896,-3.486418711,Victoria Road,BCT,active
53.315273762,-3.484237023,Kingsley Avenue,BCT,active
53.313593729,-3.483788485,Cefndy Road,BCT,active
53.311102377,-3.480639996,Ascot Drive,BCT,active
53.310632058,-3.477246523,Viola Avenue,BCT,active
53.311095945,-3.475356284,Diane Drive,BCT,active
53.311148129,-3.473316734,Llys Pen-y-cefndy,BCT,active
53.30929202,-3.467459273,South Drive,BCT,active
53.308916398,-3.465480151,Patrick Avenue,BCT,active
53.308954122,-3.463140018,Tarquin Drive,BCT,active
53.311000332,-3.462684663,Cambrian Walk,BCT,active
53.312370367,-3.463121781,Daniel Drive,BCT,active
53.314286097,-3.464508283,Hen-Afon Road,BCT,active
53.313765793,-3.461488303,Ffordd Bruton,BCT,active
53.312723283,-3.460732181,Bruton Park,BCT,active
53.316172776,-3.46386734,Clement Drive,BCT,active
53.317321365,-3.462570582,Rhodfa Maen Gwyn,BCT,active
53.319316017,-3.462653815,Llys Tegid,BCT,active
53.320533109,-3.463100802,Llys Gwynant,BCT,active
53.322343109,-3.462847445,Lon Bedw,BCT,active
53.324333956,-3.461774457,Llys-y-Tywysog,BCT,active
53.323717306,-3.459276013,Llys Dewi,BCT,active
53.321458019,-3.460610219,Lon Celynnen,BCT,active
53.318688045,-3.464373833,Rhyl Cemetery,BCT,active
53.318625419,-3.46983621,Chiropodists,BCT,active
53.319047962,-3.472748183,Parry`s Corner,BCT,active
53.320005437,-3.477465225,War Memorial Court,BCT,active
53.320521867,-3.482212235,Millbank Road,BCT,active
53.321346013,-3.484612939,Tongs Funeral Directors,BCT,active
53.322826208,-3.481601513,Highfield Park Post Office,BCT,active
53.323818137,-3.479548844,Cae Uchaf,BCT,active
53.324375141,-3.47812672,St George`s Crescent North,BCT,active
53.323108658,-3.477317215,Parc Esmor Middle,BCT,active
53.32429482,-3.47590179,Rees Avenue,BCT,active
53.325823264,-3.470789369,Oakville Avenue Middle,BCT,active
53.328822202,-3.468159615,Eaton Avenue Middle,BCT,active
53.32015589,-3.479106851,Clifton Park Road South,BCT,active
53.321778219,-3.477316289,Clifton Park Road North,BCT,active
53.322484648,-3.474713263,Hadley Crescent,BCT,active
53.322294735,-3.471523822,Mayfield Grove,BCT,active
53.321159281,-3.469202663,Ffordd Anwyl,BCT,active
53.319003148,-3.468362938,Cheltenham Avenue South,BCT,active
53.318572536,-3.470479931,Tots` Corner,BCT,active
53.316607544,-3.470907757,Westminster Avenue,BCT,active
53.315030231,-3.471243803,Ysgol Llewelyn,BCT,active
53.315024687,-3.468046211,Trellewelyn Road,BCT,active
53.315124638,-3.467959574,Trellewelyn Road,BCT,active
53.317319502,-3.49534193,Crescent Road,BCT,active
53.315889821,-3.498234222,Palace Avenue,BCT,active
53.314657187,-3.501178272,Westbourne Avenue,BCT,active
53.31380074,-3.504225449,Marine Lake,BCT,active
53.316102374,-3.504201319,Ocean Beach,BCT,active
53.318006627,-3.5007554,Butterton Road,BCT,active
53.320326246,-3.496437944,Palace Fun Centre,BCT,active
53.322891349,-3.49116769,Sea Life Aquarium Stand 1,BCT,active
53.322495794,-3.491168909,White Rose Centre,BCT,active
53.324409597,-3.487647165,Garden of Remembrance,BCT,active
53.325689958,-3.484380648,Pavilion Theatre,BCT,active
53.32685389,-3.481215512,Royal Alexandra Hospital,BCT,active
53.326342074,-3.478269801,Old Golf Road,BCT,active
53.32667401,-3.473596523,Medea Drive,BCT,active
53.327322796,-3.469099192,Denmore Stores,BCT,active
53.328188993,-3.462987459,Rhyl Golf Club,BCT,active
53.32897135,-3.457523918,Lyons Holiday Camp,BCT,active
53.329898282,-3.451107861,Robin Hood Camp,BCT,active
53.330144183,-3.448263024,Sherwood Avenue,BCT,active
53.299680781,-3.416664986,Pendref Farm,BCT,active
53.301430993,-3.409309768,Castle View,BCT,active
53.300369118,-3.412816256,Post Office,BCT,active
53.303551802,-3.403271718,Trecastell Nurseries,BCT,active
53.299762011,-3.416637663,Pendref Farm,BCT,active
53.302217993,-3.41799454,Red Lion Hotel,BCT,active
53.304028873,-3.418414729,Parc Gwelfor,BCT,active
53.305437584,-3.419391916,The Croft,BCT,active
53.309719114,-3.418423285,Graig Park Hotel,BCT,active
53.313966777,-3.415006585,Ffordd Ty Newydd,BCT,active
53.314790282,-3.413787909,Caravan Site,BCT,active
53.31714645,-3.409152059,Melyd Arms,BCT,active
53.317771851,-3.407956684,Manod Road,BCT,active
53.319745888,-3.412825782,Ffordd Penrhwylfa,BCT,active
53.321283466,-3.415068536,Roundwood Avenue,BCT,active
53.324596644,-3.417670603,Penrhwylfa Crossroads,BCT,active
53.326823485,-3.412954598,Tip Lane,BCT,active
53.327994849,-3.410831012,St Andrews Drive,BCT,active
53.329110274,-3.406963637,Maes Tegid Stores,BCT,active
