FID,uprn,school_code,school_name,la_code,local_authority,sector,governance,wm_code,welsh_medium,school_type,religious_character,address_1,address_2,address_3,address_4,postcode,phone_number,pupils,rhif_yr_ysgol,enwr_ysgol,cod_all,awdurdod_lleol,llywodraethu,cod_cc,math_o_gyfrwng_cymraeg,math_o_ysgol,cymeriad_crefyddol,cyfeiriad_1,cyfeiriad_2,cyfeiriad_3,cyfeiriad_4,cod_post,rhif_ffon,disgyblion,id,geom
maintained_schools_wg.816,200001853214,6712110,Blaenhonddan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Main Road,Bryncoch,Neath,,SA10 7PE,01639644366,270,6712110,Blaenhonddan Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Main Road,Bryncoch,Neath,,SA10 7PE,01639644366,270,816,POINT (-3.8146547129909885 51.677648310005445)
maintained_schools_wg.817,200002955713,6712119,Baglan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Elmwood Road,Baglan,Port Talbot,,SA12 8TF,01639813112,270,6712119,Baglan Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Elmwood Road,Baglan,Port Talbot,,SA12 8TF,01639813112,270,817,POINT (-3.8075874659591986 51.61893894060268)
maintained_schools_wg.818,200002961712,6712128,YGG Cwmllynfell,671,Neath Port Talbot,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,Heol Y Bryn,Cwmllynfell,Swansea,,SA9 2FJ,01639830630,60,6712128,YGG Cwmllynfell,671,Castell-nedd Port Talbot,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,Heol Y Bryn,Cwmllynfell,Swansea,,SA9 2FJ,01639830630,60,818,POINT (-3.81968751481263 51.798011289776845)
maintained_schools_wg.819,200002955367,6712129,Creunant Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,School Road,Crynant,Neath,,SA10 8NS,01639750224,124,6712129,Creunant Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,School Road,Crynant,Neath,,SA10 8NS,01639750224,124,819,POINT (-3.7474470277458276 51.7326474046027)
maintained_schools_wg.820,100101040251,6712134,Crymlyn Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,School Road,Jersey Marine,Neath,,SA10 6JJ,01792812285,132,6712134,Crymlyn Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,School Road,Jersey Marine,Neath,,SA10 6JJ,01792812285,132,820,POINT (-3.8634634397671936 51.63024067068375)
maintained_schools_wg.821,200002955603,6712137,Cwmnedd Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,New Street,Glynneath,Neath,,SA11 5AA,01639720220,172,6712137,Cwmnedd Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,New Street,Glynneath,Neath,,SA11 5AA,01639720220,172,821,POINT (-3.622844671621066 51.747086421850646)
maintained_schools_wg.822,100101040516,6712138,Cymer Afan Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Margam Street,Cymmer,Port Talbot,,SA13 3EE,01639850739,92,6712138,Cymer Afan Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Margam Street,Cymmer,Port Talbot,,SA13 3EE,01639850739,92,822,POINT (-3.6531335966390084 51.651384691447866)
maintained_schools_wg.823,100101040670,6712140,Godre'rgraig Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Graig Road,Godre'rgraig,Swansea,,SA9 2NY,01792860048,102,6712140,Godre'rgraig Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Graig Road,Godre'rgraig,Swansea,,SA9 2NY,01792860048,102,823,POINT (-3.8097641761830077 51.74648695315379)
maintained_schools_wg.824,200001853247,6712142,Eastern Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Incline Row,Taibach,Port Talbot,,SA13 1TT,01639882819,132,6712142,Eastern Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Incline Row,Taibach,Port Talbot,,SA13 1TT,01639882819,132,824,POINT (-3.7679255059499037 51.585246556130066)
maintained_schools_wg.85,10090599953,6602226,Ysgol Gynradd Corn Hir,660,Isle of Anglesey,Primary,Community,WM,Welsh medium school / provision (including transitional),Infants & Juniors,---,Llangefni,Ynys Môn,,,LL77 7JB,01248722558,338,6602226,Ysgol Gynradd Corn Hir,660,Ynys Môn,Cymuned,WM,Cyfrwng Cymraeg,Iau a babanod,---,Llangefni,Ynys Môn,,,LL77 7JB,01248722558,338,85,POINT (-4.329262075822073 53.25916893613075)
maintained_schools_wg.825,100101040289,6712144,Gnoll Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Wellfield Avenue,Neath,,,SA11 1AQ,01639642938,352,6712144,Gnoll Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Wellfield Avenue,Neath,,,SA11 1AQ,01639642938,352,825,POINT (-3.800533530170654 51.65821768773557)
maintained_schools_wg.826,100101040359,6712148,Glyncorrwg Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Bridge Street,Glyncorrwg,Port Talbot,,SA13 3BB,01639850323,91,6712148,Glyncorrwg Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Bridge Street,Glyncorrwg,Port Talbot,,SA13 3BB,01639850323,91,826,POINT (-3.6272044652793425 51.67933453777246)
maintained_schools_wg.827,200002956959,6712149,YGG Gwaun Cae Gurwen,671,Neath Port Talbot,Primary,Community,WM,Welsh medium school / provision (including transitional),"Nursery, Infants & Juniors",---,New Road,Gwaun Cae Gurwen,Ammanford,,SA18 1UN,01269822238,164,6712149,YGG Gwaun Cae Gurwen,671,Castell-nedd Port Talbot,Cymuned,WM,Cyfrwng Cymraeg,"Iau, babanod a meithrin",---,New Road,Gwaun Cae Gurwen,Ammanford,,SA18 1UN,01269822238,164,827,POINT (-3.8804339710513296 51.79370103786782)
maintained_schools_wg.828,100101040110,6712150,Catwg Primary School,671,Neath Port Talbot,Primary,Community,EM,English medium school / provision,"Nursery, Infants & Juniors",---,Main Road,Cadoxton,Neath,,SA10 8BL,01639642731,203,6712150,Catwg Primary School,671,Castell-nedd Port Talbot,Cymuned,EM,Cyfrwng Saesneg,"Iau, babanod a meithrin",---,Main Road,Cadoxton,Neath,,SA10 8BL,01639642731,203,828,POINT (-3.7961609338264055 51.673409589255854)
